StockCode,Description,QuantitySold,CurrentPrice,Revenue,RecommendedPrice,Discount(%),ProfitCategory
16045,POPART WOODEN PENCILS ASST,8900,0.043478260869565216,380.0,2.28,0,Low Profit
16046,TEATIME PEN CASE & PENS,64,0.85,54.4,4.04,10,Low Profit
16048,TEATIME ROUND PENCIL SHARPENER ,1436,0.13249999999999998,186.72,3.77,0,Low Profit
16049,TEATIME GEL PENS ASST,504,0.24,82.08,3.95,5,Low Profit
16052,TEATIME PUSH DOWN RUBBER,467,0.305,105.28999999999999,3.96,10,Low Profit
16054,POPART RECT PENCIL SHARPENER ASST,1166,0.1290909090909091,140.52,3.82,0,Low Profit
16151A,FLOWERS HANDBAG blue and orange,49,1.25,61.25,4.04,10,Low Profit
16156L,WRAP CAROUSEL,375,0.42,157.5,3.98,10,Low Profit
16156L,"WRAP, CAROUSEL",100,0.42,42.0,4.03,10,Low Profit
16156S,WRAP PINK FAIRY CAKES ,5800,0.4168862275449102,2331.0,2.9,0,Medium Profit
16161G,WRAP BAD HAIR DAY,700,0.1,70.0,3.91,5,Low Profit
16161M,WRAP  PINK FLOCK,25,0.42,10.5,4.05,10,Low Profit
16161P,WRAP ENGLISH ROSE ,7201,0.41943548387096774,2980.42,2.62,0,Medium Profit
16161U,WRAP SUKI AND FRIENDS,4075,0.41955223880597015,1687.5,3.24,0,Medium Profit
16162L,THE KING GIFT BAG,17,0.65,11.05,4.05,10,Low Profit
16162M,THE KING GIFT BAG 25x24x12cm,26,0.42,10.92,4.05,10,Low Profit
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,0.42000000000000004,138.18,3.99,10,Low Profit
16169E,WRAP 50'S  CHRISTMAS,4563,0.41919999999999996,1892.46,3.14,0,Medium Profit
16169K,WRAP FOLK ART,200,0.42,84.0,4.01,10,Low Profit
16169M,WRAP DAISY CARPET ,660,0.42,277.2,3.92,5,Low Profit
16169N,WRAP BLUE RUSSIAN FOLKART,25,0.42,10.5,4.05,10,Low Profit
16169P,WRAP GREEN RUSSIAN FOLKART ,50,0.42,21.0,4.04,10,Low Profit
16202A,PASTEL PINK PHOTO ALBUM ,7,0.5,3.5,4.05,10,Low Profit
16202B,PASTEL BLUE PHOTO ALBUM ,29,0.5,14.5,4.05,10,Low Profit
16202E,BLACK PHOTO ALBUM ,15,0.5,7.5,4.05,10,Low Profit
16206B,RED PURSE WITH PINK HEART,7,1.25,8.75,4.05,10,Low Profit
16207A,PINK STRAWBERRY HANDBAG ,13,2.95,38.35000000000001,4.05,10,Low Profit
16207B,PINK HEART RED HANDBAG,4,2.7866666666666666,11.31,4.05,10,Low Profit
16216,LETTER SHAPE PENCIL SHARPENER,3316,0.09463414634146342,227.14,3.39,0,Low Profit
16218,CARTOON  PENCIL SHARPENERS,3760,0.0732,253.2,3.3,0,Low Profit
16219,HOUSE SHAPE PENCIL SHARPENER,2915,0.09085106382978722,309.9,3.47,0,Low Profit
16225,RATTLE SNAKE EGGS,760,1.1866666666666668,596.84,3.9,5,Low Profit
16235,RECYCLED PENCIL WITH RABBIT ERASER,2629,0.21400000000000002,518.1899999999999,3.53,0,Low Profit
16236,KITTY PENCIL ERASERS,1296,0.20931506849315068,266.56,3.79,0,Low Profit
16237,SLEEPING CAT ERASERS,4595,0.2060843373493976,885.45,3.14,0,Low Profit
16238,PARTY TIME PENCIL ERASERS,1259,0.2362820512820513,265.09,3.8,0,Low Profit
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,1.225,7.85,4.05,10,Low Profit
16248B,BLUE HOLE PUNCH,13,1.25,16.25,4.05,10,Low Profit
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,1.0233333333333332,27.91,4.05,10,Low Profit
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,0.45921052631578946,156.53,3.96,10,Low Profit
16259,PIECE OF CAMO STATIONERY SET,3380,0.0967741935483871,326.56,3.38,0,Low Profit
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,0.29,20.88,4.04,10,Low Profit
17003,BROCADE RING PURSE ,22927,0.3202403846153846,5969.61,0.1,0,High Profit
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,2.1,50.400000000000006,4.05,10,Low Profit
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,1.1333333333333335,62.150000000000006,4.04,10,Low Profit
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,1.1079999999999999,244.89999999999998,4.0,10,Low Profit
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,1.0763888888888888,422.54999999999995,3.96,10,Low Profit
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,362,1.1186046511627907,341.79999999999995,3.98,10,Low Profit
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,385,1.0818181818181818,362.95,3.97,10,Low Profit
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,35,1.8666666666666665,40.05,4.04,10,Low Profit
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,1.0035714285714286,329.05,3.98,10,Low Profit
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,0.8672727272727272,257.88,3.95,5,Low Profit
17014A,ORIGAMI VANILLA INCENSE CONES,154,0.6071428571428571,67.83,4.02,10,Low Profit
17021,NAMASTE SWAGAT INCENSE,2391,0.29411764705882354,632.34,3.57,0,Low Profit
17028J,INCENSE BAZAAR PEACH,6,0.42,2.52,4.05,10,Low Profit
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,0.09526315789473684,138.1,3.75,0,Low Profit
17084A,TRANQUILITY MASALA INCENSE,200,0.21,42.0,4.01,10,Low Profit
17084J,LOVE POTION MASALA INCENSE,225,0.21,47.25,4.01,10,Low Profit
17084N,FAIRY DREAMS INCENSE ,1025,0.2084375,212.75,3.85,0,Low Profit
17084P,DRAGONS BLOOD INCENSE,349,0.21,73.29,3.98,10,Low Profit
17084R,ASSORTED INCENSE PACK,4032,0.20259259259259257,760.3199999999999,3.25,0,Low Profit
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,1.17,107.44999999999999,4.03,10,Low Profit
17090D,VANILLA INCENSE 40 CONES IN TIN,29,1.25,36.25,4.05,10,Low Profit
17091A,LAVENDER INCENSE IN TIN,171,0.7976000000000001,98.91,4.02,10,Low Profit
17091J,VANILLA INCENSE IN TIN,2066,0.5476923076923077,876.34,3.64,0,Low Profit
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,0.20076923076923076,443.76000000000005,3.55,0,Low Profit
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,2.55,150.45,4.04,10,Low Profit
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,2.55,15.299999999999999,4.05,10,Low Profit
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,2.55,267.75,4.03,10,Low Profit
17109D,FLOWER FAIRY INCENSE BOUQUET,61,0.9039999999999999,32.349999999999994,4.04,10,Low Profit
17129F,BLUE GLASS GEMS IN BAG,427,0.8436842105263158,291.25,3.97,10,Low Profit
17136A,BLUE STONES ON WIRE FOR CANDLE,352,0.10294117647058823,29.59,3.98,10,Low Profit
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,0.42,11.34,4.05,10,Low Profit
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,1.05,28.35,4.05,10,Low Profit
17174,ASSTD RASTA KEY-CHAINS,9,0.42,3.7800000000000002,4.05,10,Low Profit
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,3.75,15.0,4.05,10,Low Profit
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,0.16666666666666666,383.76,2.88,0,Low Profit
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,1.1966666666666665,153.1,4.02,10,Low Profit
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,2.55,12.75,4.05,10,Low Profit
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,669,2.503846153846154,1461.15,3.92,5,Medium Profit
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,2.918421052631579,540.5500000000001,4.01,10,Low Profit
20615,BLUE POLKADOT PASSPORT COVER,231,1.4831428571428573,233.34,4.01,10,Low Profit
20616,CHERRY BLOSSOM PASSPORT COVER,134,1.3172,122.78,4.02,10,Low Profit
20617,FIRST CLASS PASSPORT COVER ,66,2.224615384615385,137.74,4.04,10,Low Profit
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,2.0707142857142857,137.88000000000002,4.04,10,Low Profit
20619,TROPICAL PASSPORT COVER ,142,2.309090909090909,206.23000000000002,4.02,10,Low Profit
20622,VIP PASSPORT COVER ,35,2.1,73.5,4.04,10,Low Profit
20622,VIPPASSPORT COVER ,127,1.9323809523809523,164.58,4.03,10,Low Profit
20652,BLUE POLKADOT LUGGAGE TAG ,147,1.4333333333333333,191.01,4.02,10,Low Profit
20653,CHERRY BLOSSOM LUGGAGE TAG,33,1.6533333333333333,43.67,4.05,10,Low Profit
20654,FIRST CLASS LUGGAGE TAG ,105,1.2341666666666666,126.69,4.03,10,Low Profit
20655,QUEEN OF SKIES LUGGAGE TAG,89,1.31,109.11,4.03,10,Low Profit
20657,TROPICAL LUGGAGE TAG,61,1.3513636363636363,76.39,4.04,10,Low Profit
20658,RED RETROSPOT LUGGAGE TAG,327,1.25,408.75,3.99,10,Low Profit
20659,ECONOMY LUGGAGE TAG,94,1.5499999999999998,139.56,4.03,10,Low Profit
20661,BLUE POLKADOT PURSE ,9,4.654,35.07,4.05,10,Low Profit
20662,FIRST CLASS HOLIDAY PURSE ,11,4.086,40.97,4.05,10,Low Profit
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,3.896666666666667,11.690000000000001,4.05,10,Low Profit
20664,TROPICAL HOLIDAY PURSE ,6,2.9500000000000006,17.700000000000003,4.05,10,Low Profit
20665,RED RETROSPOT PURSE ,340,2.944520547945206,998.2000000000002,3.98,10,Low Profit
20666,ECONOMY HOLIDAY PURSE,4,2.95,11.8,4.05,10,Low Profit
20667,CHERRY BLOSSOM PURSE,1,2.95,2.95,4.05,10,Low Profit
20668,DISCO BALL CHRISTMAS DECORATION,12618,0.11847826086956523,1397.04,1.54,0,Medium Profit
20669,RED HEART LUGGAGE TAG,195,1.25,243.75,4.01,10,Low Profit
20670,VIP HOLIDAY PURSE,8,3.896666666666667,29.28,4.05,10,Low Profit
20671,BLUE TEATIME PRINT BOWL ,10,1.25,12.5,4.05,10,Low Profit
20674,GREEN POLKADOT BOWL,1360,1.2517333333333334,1632.81,3.78,0,Medium Profit
20675,BLUE POLKADOT BOWL,2728,1.2418666666666667,3178.65,3.51,0,Medium Profit
20676,RED RETROSPOT BOWL,4310,1.2437123745819398,4980.7300000000005,3.19,0,Medium Profit
20677,PINK POLKADOT BOWL,3157,1.2584234234234235,3640.0800000000004,3.42,0,Medium Profit
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,1.65,6.6,4.05,10,Low Profit
20679,EDWARDIAN PARASOL RED,1630,5.920369003690038,9055.87,3.73,0,High Profit
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,3.25,406.25,4.03,10,Low Profit
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,3.312950819672131,3629.66,3.82,0,Medium Profit
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,3.25,250.25,4.04,10,Low Profit
20685,DOORMAT RED RETROSPOT,3897,7.758093587521664,25364.85,3.27,0,High Profit
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,3.3028125,822.38,4.0,10,Low Profit
20694,FLORAL PINK MONSTER,36,3.75,135.0,4.04,10,Low Profit
20695,FLORAL BLUE MONSTER,5,4.25,21.25,4.05,10,Low Profit
20696,FLORAL SOFT CAR TOY,32,3.75,120.0,4.05,10,Low Profit
20697,LITTLE GREEN MONSTER SOFT TOY,17,2.55,43.349999999999994,4.05,10,Low Profit
20698,LITTLE PINK MONSTER SOFT TOY,16,2.55,40.8,4.05,10,Low Profit
20699,MOUSEY LONG LEGS SOFT TOY,29,2.55,73.94999999999999,4.05,10,Low Profit
20700,GREEN CAT FLORAL CUSHION COVER ,10,3.75,37.5,4.05,10,Low Profit
20701,PINK CAT FLORAL CUSHION COVER ,6,3.75,22.5,4.05,10,Low Profit
20702,PINK PADDED MOBILE,127,4.25,539.75,4.03,10,Low Profit
20703,BLUE PADDED SOFT MOBILE,1,4.25,4.25,4.05,10,Low Profit
20704,MR ROBOT SOFT TOY,211,4.77051282051282,626.45,4.01,10,Low Profit
20705,MRS ROBOT SOFT TOY,143,4.807142857142857,428.85,4.02,10,Low Profit
20707,CRAZY DAISY HEART DECORATION,155,1.5438709677419356,195.52,4.02,10,Low Profit
20711,JUMBO BAG TOYS ,4198,2.01331983805668,7689.28,3.21,0,High Profit
20712,JUMBO BAG WOODLAND ANIMALS,8187,2.0361971830985914,15511.6,2.42,0,High Profit
20713,JUMBO BAG OWLS,10451,2.018870192307692,19047.02,1.97,0,High Profit
20716,PARTY FOOD SHOPPER BAG,314,1.2445714285714287,373.5,3.99,10,Low Profit
20717,STRAWBERRY SHOPPER BAG,2034,1.2760425531914894,2453.38,3.65,0,Medium Profit
20718,RED RETROSPOT SHOPPER BAG,4257,1.2659948320413437,5106.56,3.2,0,High Profit
20719,WOODLAND CHARLOTTE BAG,9219,0.8454089219330855,7261.94,2.21,0,High Profit
20723,STRAWBERRY CHARLOTTE BAG,6842,0.8602217741935484,5516.7,2.69,0,High Profit
20724,RED RETROSPOT CHARLOTTE BAG,12805,0.8493048128342245,10122.45,1.5,0,High Profit
20725,LUNCH BAG RED RETROSPOT,17576,1.6592095165003835,27868.8,0.55,0,High Profit
20725,LUNCH BAG RED SPOTTY,200,1.45,290.0,4.01,10,Low Profit
20726,LUNCH BAG WOODLAND,9091,1.6593862815884475,14497.51,2.24,0,High Profit
20727,LUNCH BAG  BLACK SKULL.,11246,1.6436920222634508,17950.3,1.81,0,High Profit
20728,LUNCH BAG CARS BLUE,10789,1.6569600818833161,17214.53,1.9,0,High Profit
20731,POSY CANDY BAG,74,1.25,92.5,4.04,10,Low Profit
20733,GOLD MINI TAPE MEASURE ,916,0.8387234042553192,687.2,3.87,5,Low Profit
20735,BLACK MINI TAPE MEASURE ,158,0.8456666666666667,121.3,4.02,10,Low Profit
20748,KENSINGTON COFFEE SET,53,12.75,675.75,4.04,10,Low Profit
20749,ASSORTED COLOUR MINI CASES,1717,7.790109289617486,12107.51,3.71,0,High Profit
20750,RED RETROSPOT MINI CASES,1711,7.748907103825136,12208.85,3.71,0,High Profit
20751,FUNKY WASHING UP GLOVES ASSORTED,941,2.0953409090909094,1917.0600000000002,3.86,5,Medium Profit
20752,BLUE POLKADOT WASHING UP GLOVES,360,2.1,756.0000000000001,3.98,10,Low Profit
20754,RETROSPOT RED WASHING UP GLOVES,1355,2.089834710743802,2668.38,3.78,0,Medium Profit
20755,BLUE PAISLEY POCKET BOOK,291,0.85,247.35,3.99,10,Low Profit
20756,GREEN FERN POCKET BOOK,63,0.85,53.55,4.04,10,Low Profit
20757,RED DAISY POCKET BOOK ,155,0.8751612903225806,132.53,4.02,10,Low Profit
20758,ABSTRACT CIRCLES POCKET BOOK,158,0.85,134.29999999999998,4.02,10,Low Profit
20759,CHRYSANTHEMUM POCKET BOOK ,64,0.85,54.4,4.04,10,Low Profit
20760,GARDEN PATH POCKET BOOK,69,0.85,58.65,4.04,10,Low Profit
20761,BLUE PAISLEY SKETCHBOOK,107,3.821346153846154,408.67,4.03,10,Low Profit
20762,GREEN FERN SKETCHBOOK ,101,3.8227450980392157,382.46,4.03,10,Low Profit
20763,DAISY SKETCHBOOK ,71,3.6984,189.96,4.04,10,Low Profit
20764,ABSTRACT CIRCLES SKETCHBOOK ,126,3.9324590163934428,483.63,4.03,10,Low Profit
20765,CHRYSANTHEMUM SKETCHBOOK ,94,3.968235294117647,367.34,4.03,10,Low Profit
20766,GARDEN PATH SKETCHBOOK,111,3.887916666666667,414.58,4.03,10,Low Profit
20767,BLUE PAISLEY JOURNAL ,214,2.625344827586207,534.3199999999999,4.01,10,Low Profit
20768,GREEN FERN JOURNAL ,130,2.6044444444444443,317.71,4.03,10,Low Profit
20769,DAISY JOURNAL ,66,2.6426923076923075,173.11999999999998,4.04,10,Low Profit
20770,ABSTRACT CIRCLE JOURNAL ,107,2.533928571428571,256.65,4.03,10,Low Profit
20771,CHRYSANTHEMUM  JOURNAL,70,2.639259259259259,180.91,4.04,10,Low Profit
20772,GARDEN PATH JOURNAL,218,2.592608695652174,534.46,4.01,10,Low Profit
20773,BLUE PAISLEY NOTEBOOK,56,1.6499999999999997,92.39999999999999,4.04,10,Low Profit
20774,GREEN FERN NOTEBOOK,52,1.65,85.8,4.04,10,Low Profit
20775,DAISY NOTEBOOK ,63,1.65,103.94999999999999,4.04,10,Low Profit
20777,CHRYSANTHEMUM NOTEBOOK,95,1.65,156.75,4.03,10,Low Profit
20778,GARDEN PATH NOTEBOOK ,15,1.65,24.75,4.05,10,Low Profit
20780,BLACK EAR MUFF HEADPHONES,36,5.737777777777778,192.86,4.04,10,Low Profit
20781,GOLD EAR MUFF HEADPHONES,29,5.136,152.13,4.05,10,Low Profit
20782,CAMOUFLAGE EAR MUFF HEADPHONES,39,5.593529411764706,215.87,4.04,10,Low Profit
20785,FUSCHIA RETRO BAR STOOL,14,39.15,523.3000000000001,4.05,10,Low Profit
20793,BLUE TILED TRAY,8,6.75,54.0,4.05,10,Low Profit
20794,BLUE  TILE HOOK,85,2.5218749999999996,213.14999999999998,4.03,10,Low Profit
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,2.1,92.4,4.04,10,Low Profit
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,1.65,100.64999999999999,4.04,10,Low Profit
20798,CLEAR MILKSHAKE GLASS,36,2.1,75.60000000000001,4.04,10,Low Profit
20801,LARGE PINK GLASS SUNDAE DISH,848,0.9405454545454546,708.16,3.88,5,Low Profit
20802,SMALL GLASS SUNDAE DISH CLEAR,648,1.4686363636363635,730.4399999999999,3.92,5,Low Profit
20803,SMALL PINK GLASS SUNDAE DISH,911,0.5196774193548387,383.91,3.87,5,Low Profit
20816,GOLD FLOWER CUSHION COVER ,8,1.95,15.6,4.05,10,Low Profit
20818,GOLD TEDDY BEAR,12,2.5,20.0,4.05,10,Low Profit
20819,SILVER TEDDY BEAR,48,3.981875,183.71,4.04,10,Low Profit
20820,SILVER LOOKING MIRROR,5,4.95,24.75,4.05,10,Low Profit
20821,GOLDIE LOOKING MIRROR,16,4.95,79.2,4.05,10,Low Profit
20823,GOLD WINE GOBLET,160,0.79,126.4,4.02,10,Low Profit
20826,SILVER APERITIF GLASS,276,0.8225,128.4,4.0,10,Low Profit
20827,GOLD APERITIF GLASS,88,0.39,34.32,4.03,10,Low Profit
20828,GLITTER BUTTERFLY CLIPS,1010,2.5402173913043478,2489.1,3.85,0,Medium Profit
20829,GLITTER HANGING BUTTERFLY STRING,1264,2.153095238095238,2528.3900000000003,3.8,0,Medium Profit
20830,SILVER PHOTO FRAME,75,2.1,157.5,4.04,10,Low Profit
20831,GOLD PHOTO FRAME,169,1.8645833333333333,272.34000000000003,4.02,10,Low Profit
20832,RED FLOCK LOVE HEART PHOTO FRAME,1010,0.5778571428571428,517.68,3.85,0,Low Profit
20835,FRENCH LATTICE CUSHION COVER ,66,0.83,54.779999999999994,4.04,10,Low Profit
20836,FRENCH PAISLEY CUSHION COVER,170,0.83,141.1,4.02,10,Low Profit
20837,FRENCH FLORAL CUSHION COVER ,141,0.9713333333333334,142.47,4.02,10,Low Profit
20838,FRENCH LATTICE CUSHION COVER ,330,0.9239393939393938,282.94,3.99,10,Low Profit
20839,FRENCH PAISLEY CUSHION COVER ,452,0.9855102040816326,411.84,3.96,10,Low Profit
20840,FRENCH FLORAL CUSHION COVER ,464,0.9609090909090909,399.28,3.96,10,Low Profit
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,6.35,120.64999999999999,4.05,10,Low Profit
20846,ZINC HEART LATTICE T-LIGHT HOLDER,646,1.2601587301587303,784.22,3.92,5,Low Profit
20847,ZINC HEART LATTICE CHARGER LARGE,46,3.75,172.5,4.04,10,Low Profit
20848,ZINC HEART LATTICE CHARGER SMALL,21,2.95,61.95,4.05,10,Low Profit
20851,ZINC HEART LATTICE TRAY OVAL ,9,5.95,53.550000000000004,4.05,10,Low Profit
20854,BLUE PATCH PURSE PINK HEART,164,1.638235294117647,252.79999999999998,4.02,10,Low Profit
20856,DENIM PATCH PURSE PINK BUTTERFLY,140,1.65,231.0,4.02,10,Low Profit
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32,1.65,52.8,4.05,10,Low Profit
20861,GOLD COSMETIC BAG PINK STAR,2,2.1,4.2,4.05,10,Low Profit
20866,BLUE ROSE FABRIC MIRROR,408,1.305135135135135,487.34,3.97,10,Low Profit
20867,PINK ROSE FABRIC MIRROR,187,1.2424,231.47,4.01,10,Low Profit
20868,SILVER FABRIC MIRROR,381,0.567741935483871,159.26000000000002,3.98,10,Low Profit
20869,GOLD FABRIC MIRROR,139,0.39,54.21000000000001,4.02,10,Low Profit
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,24,1.25,30.0,4.05,10,Low Profit
20886,BOX OF 9 PEBBLE CANDLES,452,1.946153846153846,851.4,3.96,10,Low Profit
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,12.75,12.75,4.05,10,Low Profit
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,258,2.478947368421052,566.55,4.0,10,Low Profit
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,2.95,73.75,4.05,10,Low Profit
20897,VINTAGE NOTEBOOK PARIS DAYS,85,2.9000000000000004,230.35,4.03,10,Low Profit
20898,VINTAGE NOTEBOOK TRAVELOGUE,25,2.95,73.75,4.05,10,Low Profit
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,3,6.35,19.049999999999997,4.05,10,Low Profit
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,6.216666666666666,190.35,4.05,10,Low Profit
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,6.35,127.0,4.05,10,Low Profit
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,2.95,8.850000000000001,4.05,10,Low Profit
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,6.349999999999999,50.8,4.05,10,Low Profit
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5871,2.953053040103493,16537.13,2.88,0,High Profit
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288,2.55,734.4,3.99,10,Low Profit
20931,BLUE POT PLANT CANDLE ,263,3.114864864864865,794.45,4.0,10,Low Profit
20932,PINK POT PLANT CANDLE,189,3.0090909090909093,516.25,4.01,10,Low Profit
20933,YELLOW POT PLANT CANDLE,23,3.127777777777778,71.05,4.05,10,Low Profit
20934,SET/3 POT PLANT CANDLES,54,5.45,294.3,4.04,10,Low Profit
20935,ROUND CACTUS CANDLE,6,2.95,17.700000000000003,4.05,10,Low Profit
20936,FORKED CACTUS CANDLE,92,3.0876923076923077,272.98,4.03,10,Low Profit
20941,FROG CANDLE,61,1.25,76.25,4.04,10,Low Profit
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,728,1.2903333333333333,913.63,3.91,5,Low Profit
20961,STRAWBERRY BATH SPONGE ,1026,1.316171875,1301.86,3.85,0,Medium Profit
20963,APPLE BATH SPONGE,1100,1.32744,1397.99,3.83,0,Medium Profit
20964,POLYESTER FILLER PAD 60x40cm,2,2.55,5.1,4.05,10,Low Profit
20966,SANDWICH BATH SPONGE,589,1.2453658536585366,698.25,3.93,5,Low Profit
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,256,3.75,960.0,4.0,10,Low Profit
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1874,3.8198054474708174,6726.81,3.68,0,High Profit
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1080,3.781038961038961,3979.88,3.84,0,Medium Profit
20971,PINK BLUE FELT CRAFT TRINKET BOX,10217,1.2698047722342733,11619.39,2.01,0,High Profit
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7106,1.2748613678373384,8617.24,2.63,0,High Profit
