StockCode,Description,QuantitySold,Revenue,UniqueCustomers,Recommendation
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,54,Increase Inventory
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,3,Run Promotional Campaign
16011,ANIMAL STICKERS,1749,367.29,38,Increase Inventory
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,33,Increase Inventory
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,34,Increase Inventory
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,19,Increase Inventory
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,41,Increase Inventory
16020C,CLEAR STATIONERY BOX SET ,6,5.1,1,Run Promotional Campaign
16033,MINI HIGHLIGHTER PENS,840,100.79999999999998,4,Increase Inventory
16043,POP ART PUSH DOWN RUBBER ,98,11.759999999999998,2,Run Promotional Campaign
16045,POPART WOODEN PENCILS ASST,8900,380.0,61,Increase Inventory
16046,TEATIME PEN CASE & PENS,64,54.4,13,Run Promotional Campaign
16048,TEATIME ROUND PENCIL SHARPENER ,1436,186.72,41,Increase Inventory
16049,TEATIME GEL PENS ASST,504,82.08,5,Increase Inventory
16052,TEATIME PUSH DOWN RUBBER,467,105.28999999999999,5,Maintain Current Strategy
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,29,Increase Inventory
16151A,FLOWERS HANDBAG blue and orange,49,61.25,3,Run Promotional Campaign
16156L,WRAP CAROUSEL,375,157.5,13,Maintain Current Strategy
16156L,"WRAP, CAROUSEL",100,42.0,4,Maintain Current Strategy
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,135,Increase Inventory
16161G,WRAP BAD HAIR DAY,700,70.0,22,Increase Inventory
16161M,WRAP  PINK FLOCK,25,10.5,1,Run Promotional Campaign
16161P,WRAP ENGLISH ROSE ,7201,2980.42,189,Increase Inventory
16161U,WRAP SUKI AND FRIENDS,4075,1687.5,105,Increase Inventory
16162L,THE KING GIFT BAG,17,11.05,5,Run Promotional Campaign
16162M,THE KING GIFT BAG 25x24x12cm,26,10.92,6,Run Promotional Campaign
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,138.18,19,Maintain Current Strategy
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,143,Increase Inventory
16169K,WRAP FOLK ART,200,84.0,8,Maintain Current Strategy
16169M,WRAP DAISY CARPET ,660,277.2,24,Increase Inventory
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,1,Run Promotional Campaign
16169P,WRAP GREEN RUSSIAN FOLKART ,50,21.0,2,Run Promotional Campaign
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,2,Run Promotional Campaign
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,2,Run Promotional Campaign
16202E,BLACK PHOTO ALBUM ,15,7.5,3,Run Promotional Campaign
16206B,RED PURSE WITH PINK HEART,7,8.75,2,Run Promotional Campaign
16207A,PINK STRAWBERRY HANDBAG ,13,38.35000000000001,4,Run Promotional Campaign
16207B,PINK HEART RED HANDBAG,4,11.31,3,Run Promotional Campaign
16216,LETTER SHAPE PENCIL SHARPENER,3316,227.14,38,Increase Inventory
16218,CARTOON  PENCIL SHARPENERS,3760,253.2,43,Increase Inventory
16219,HOUSE SHAPE PENCIL SHARPENER,2915,309.9,41,Increase Inventory
16225,RATTLE SNAKE EGGS,760,596.84,57,Increase Inventory
16235,RECYCLED PENCIL WITH RABBIT ERASER,2629,518.1899999999999,68,Increase Inventory
16236,KITTY PENCIL ERASERS,1296,266.56,59,Increase Inventory
16237,SLEEPING CAT ERASERS,4595,885.45,109,Increase Inventory
16238,PARTY TIME PENCIL ERASERS,1259,265.09,61,Increase Inventory
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,2,Run Promotional Campaign
16248B,BLUE HOLE PUNCH,13,16.25,7,Run Promotional Campaign
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,27.91,7,Run Promotional Campaign
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,156.53,29,Maintain Current Strategy
16259,PIECE OF CAMO STATIONERY SET,3380,326.56,28,Increase Inventory
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88,1,Run Promotional Campaign
17003,BROCADE RING PURSE ,22927,5969.61,136,Increase Inventory
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.400000000000006,2,Run Promotional Campaign
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,62.150000000000006,6,Run Promotional Campaign
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,244.89999999999998,21,Maintain Current Strategy
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,422.54999999999995,33,Maintain Current Strategy
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,362,341.79999999999995,37,Maintain Current Strategy
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,385,362.95,35,Maintain Current Strategy
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,35,40.05,3,Run Promotional Campaign
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,329.05,33,Maintain Current Strategy
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,257.88,10,Increase Inventory
17014A,ORIGAMI VANILLA INCENSE CONES,154,67.83,7,Maintain Current Strategy
17021,NAMASTE SWAGAT INCENSE,2391,632.34,30,Increase Inventory
17028J,INCENSE BAZAAR PEACH,6,2.52,1,Run Promotional Campaign
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,138.1,18,Increase Inventory
17084A,TRANQUILITY MASALA INCENSE,200,42.0,7,Maintain Current Strategy
17084J,LOVE POTION MASALA INCENSE,225,47.25,8,Maintain Current Strategy
17084N,FAIRY DREAMS INCENSE ,1025,212.75,25,Increase Inventory
17084P,DRAGONS BLOOD INCENSE,349,73.29,12,Maintain Current Strategy
17084R,ASSORTED INCENSE PACK,4032,760.3199999999999,16,Increase Inventory
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,107.44999999999999,9,Maintain Current Strategy
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,6,Run Promotional Campaign
17091A,LAVENDER INCENSE IN TIN,171,98.91,19,Maintain Current Strategy
17091J,VANILLA INCENSE IN TIN,2066,876.34,66,Increase Inventory
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,443.76000000000005,12,Increase Inventory
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,150.45,18,Run Promotional Campaign
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999,1,Run Promotional Campaign
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,24,Maintain Current Strategy
17109D,FLOWER FAIRY INCENSE BOUQUET,61,32.349999999999994,4,Run Promotional Campaign
17129F,BLUE GLASS GEMS IN BAG,427,291.25,11,Maintain Current Strategy
17136A,BLUE STONES ON WIRE FOR CANDLE,352,29.59,16,Maintain Current Strategy
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,11.34,9,Run Promotional Campaign
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,6,Run Promotional Campaign
17174,ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,3,Run Promotional Campaign
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15.0,1,Run Promotional Campaign
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,383.76,15,Increase Inventory
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,153.1,13,Maintain Current Strategy
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,12.75,4,Run Promotional Campaign
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,669,1461.15,43,Increase Inventory
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,540.5500000000001,24,Maintain Current Strategy
20615,BLUE POLKADOT PASSPORT COVER,231,233.34,28,Maintain Current Strategy
20616,CHERRY BLOSSOM PASSPORT COVER,134,122.78,19,Maintain Current Strategy
20617,FIRST CLASS PASSPORT COVER ,66,137.74,20,Run Promotional Campaign
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,137.88000000000002,20,Run Promotional Campaign
20619,TROPICAL PASSPORT COVER ,142,206.23000000000002,16,Maintain Current Strategy
20622,VIP PASSPORT COVER ,35,73.5,8,Run Promotional Campaign
20622,VIPPASSPORT COVER ,127,164.58,18,Maintain Current Strategy
20652,BLUE POLKADOT LUGGAGE TAG ,147,191.01,26,Maintain Current Strategy
20653,CHERRY BLOSSOM LUGGAGE TAG,33,43.67,5,Run Promotional Campaign
20654,FIRST CLASS LUGGAGE TAG ,105,126.69,21,Maintain Current Strategy
20655,QUEEN OF SKIES LUGGAGE TAG,89,109.11,20,Run Promotional Campaign
20657,TROPICAL LUGGAGE TAG,61,76.39,20,Run Promotional Campaign
20658,RED RETROSPOT LUGGAGE TAG,327,408.75,44,Maintain Current Strategy
20659,ECONOMY LUGGAGE TAG,94,139.56,18,Run Promotional Campaign
20661,BLUE POLKADOT PURSE ,9,35.07,3,Run Promotional Campaign
20662,FIRST CLASS HOLIDAY PURSE ,11,40.97,4,Run Promotional Campaign
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,11.690000000000001,3,Run Promotional Campaign
20664,TROPICAL HOLIDAY PURSE ,6,17.700000000000003,3,Run Promotional Campaign
20665,RED RETROSPOT PURSE ,340,998.2000000000002,58,Maintain Current Strategy
20666,ECONOMY HOLIDAY PURSE,4,11.8,4,Run Promotional Campaign
20667,CHERRY BLOSSOM PURSE,1,2.95,1,Run Promotional Campaign
20668,DISCO BALL CHRISTMAS DECORATION,12618,1397.04,111,Increase Inventory
20669,RED HEART LUGGAGE TAG,195,243.75,36,Maintain Current Strategy
20670,VIP HOLIDAY PURSE,8,29.28,5,Run Promotional Campaign
20671,BLUE TEATIME PRINT BOWL ,10,12.5,2,Run Promotional Campaign
20674,GREEN POLKADOT BOWL,1360,1632.81,101,Increase Inventory
20675,BLUE POLKADOT BOWL,2728,3178.65,149,Increase Inventory
20676,RED RETROSPOT BOWL,4310,4980.7300000000005,185,Increase Inventory
20677,PINK POLKADOT BOWL,3157,3640.0800000000004,133,Increase Inventory
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,Run Promotional Campaign
20679,EDWARDIAN PARASOL RED,1630,9055.87,141,Increase Inventory
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,406.25,29,Maintain Current Strategy
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,3629.66,138,Increase Inventory
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,250.25,30,Run Promotional Campaign
20685,DOORMAT RED RETROSPOT,3897,25364.85,329,Increase Inventory
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,822.38,51,Maintain Current Strategy
20694,FLORAL PINK MONSTER,36,135.0,9,Run Promotional Campaign
20695,FLORAL BLUE MONSTER,5,21.25,4,Run Promotional Campaign
20696,FLORAL SOFT CAR TOY,32,120.0,10,Run Promotional Campaign
20697,LITTLE GREEN MONSTER SOFT TOY,17,43.349999999999994,8,Run Promotional Campaign
20698,LITTLE PINK MONSTER SOFT TOY,16,40.8,7,Run Promotional Campaign
20699,MOUSEY LONG LEGS SOFT TOY,29,73.94999999999999,11,Run Promotional Campaign
20700,GREEN CAT FLORAL CUSHION COVER ,10,37.5,4,Run Promotional Campaign
20701,PINK CAT FLORAL CUSHION COVER ,6,22.5,3,Run Promotional Campaign
20702,PINK PADDED MOBILE,127,539.75,31,Maintain Current Strategy
20703,BLUE PADDED SOFT MOBILE,1,4.25,1,Run Promotional Campaign
20704,MR ROBOT SOFT TOY,211,626.45,38,Maintain Current Strategy
20705,MRS ROBOT SOFT TOY,143,428.85,27,Maintain Current Strategy
20707,CRAZY DAISY HEART DECORATION,155,195.52,20,Maintain Current Strategy
20711,JUMBO BAG TOYS ,4198,7689.28,152,Increase Inventory
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6,248,Increase Inventory
20713,JUMBO BAG OWLS,10451,19047.02,207,Increase Inventory
20716,PARTY FOOD SHOPPER BAG,314,373.5,31,Maintain Current Strategy
20717,STRAWBERRY SHOPPER BAG,2034,2453.38,150,Increase Inventory
20718,RED RETROSPOT SHOPPER BAG,4257,5106.56,236,Increase Inventory
20719,WOODLAND CHARLOTTE BAG,9219,7261.94,238,Increase Inventory
20723,STRAWBERRY CHARLOTTE BAG,6842,5516.7,230,Increase Inventory
20724,RED RETROSPOT CHARLOTTE BAG,12805,10122.45,335,Increase Inventory
20725,LUNCH BAG RED RETROSPOT,17576,27868.8,532,Increase Inventory
20725,LUNCH BAG RED SPOTTY,200,290.0,1,Maintain Current Strategy
20726,LUNCH BAG WOODLAND,9091,14497.51,372,Increase Inventory
20727,LUNCH BAG  BLACK SKULL.,11246,17950.3,458,Increase Inventory
20728,LUNCH BAG CARS BLUE,10789,17214.53,479,Increase Inventory
20731,POSY CANDY BAG,74,92.5,8,Run Promotional Campaign
20733,GOLD MINI TAPE MEASURE ,916,687.2,30,Increase Inventory
20735,BLACK MINI TAPE MEASURE ,158,121.3,11,Maintain Current Strategy
20748,KENSINGTON COFFEE SET,53,675.75,26,Run Promotional Campaign
20749,ASSORTED COLOUR MINI CASES,1717,12107.51,239,Increase Inventory
20750,RED RETROSPOT MINI CASES,1711,12208.85,235,Increase Inventory
20751,FUNKY WASHING UP GLOVES ASSORTED,941,1917.0600000000002,127,Increase Inventory
20752,BLUE POLKADOT WASHING UP GLOVES,360,756.0000000000001,91,Maintain Current Strategy
20754,RETROSPOT RED WASHING UP GLOVES,1355,2668.38,153,Increase Inventory
20755,BLUE PAISLEY POCKET BOOK,291,247.35,44,Maintain Current Strategy
20756,GREEN FERN POCKET BOOK,63,53.55,20,Run Promotional Campaign
20757,RED DAISY POCKET BOOK ,155,132.53,30,Maintain Current Strategy
20758,ABSTRACT CIRCLES POCKET BOOK,158,134.29999999999998,35,Maintain Current Strategy
20759,CHRYSANTHEMUM POCKET BOOK ,64,54.4,17,Run Promotional Campaign
20760,GARDEN PATH POCKET BOOK,69,58.65,18,Run Promotional Campaign
20761,BLUE PAISLEY SKETCHBOOK,107,408.67,46,Maintain Current Strategy
20762,GREEN FERN SKETCHBOOK ,101,382.46,42,Maintain Current Strategy
20763,DAISY SKETCHBOOK ,71,189.96,24,Run Promotional Campaign
20764,ABSTRACT CIRCLES SKETCHBOOK ,126,483.63,45,Maintain Current Strategy
20765,CHRYSANTHEMUM SKETCHBOOK ,94,367.34,45,Run Promotional Campaign
20766,GARDEN PATH SKETCHBOOK,111,414.58,41,Maintain Current Strategy
20767,BLUE PAISLEY JOURNAL ,214,534.3199999999999,50,Maintain Current Strategy
20768,GREEN FERN JOURNAL ,130,317.71,31,Maintain Current Strategy
20769,DAISY JOURNAL ,66,173.11999999999998,21,Run Promotional Campaign
20770,ABSTRACT CIRCLE JOURNAL ,107,256.65,24,Maintain Current Strategy
20771,CHRYSANTHEMUM  JOURNAL,70,180.91,21,Run Promotional Campaign
20772,GARDEN PATH JOURNAL,218,534.46,40,Maintain Current Strategy
20773,BLUE PAISLEY NOTEBOOK,56,92.39999999999999,21,Run Promotional Campaign
20774,GREEN FERN NOTEBOOK,52,85.8,21,Run Promotional Campaign
20775,DAISY NOTEBOOK ,63,103.94999999999999,19,Run Promotional Campaign
20777,CHRYSANTHEMUM NOTEBOOK,95,156.75,32,Run Promotional Campaign
20778,GARDEN PATH NOTEBOOK ,15,24.75,8,Run Promotional Campaign
20780,BLACK EAR MUFF HEADPHONES,36,192.86,13,Run Promotional Campaign
20781,GOLD EAR MUFF HEADPHONES,29,152.13,19,Run Promotional Campaign
20782,CAMOUFLAGE EAR MUFF HEADPHONES,39,215.87,12,Run Promotional Campaign
20785,FUSCHIA RETRO BAR STOOL,14,523.3000000000001,4,Run Promotional Campaign
20793,BLUE TILED TRAY,8,54.0,4,Run Promotional Campaign
20794,BLUE  TILE HOOK,85,213.14999999999998,15,Run Promotional Campaign
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,92.4,6,Run Promotional Campaign
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,100.64999999999999,8,Run Promotional Campaign
20798,CLEAR MILKSHAKE GLASS,36,75.60000000000001,5,Run Promotional Campaign
20801,LARGE PINK GLASS SUNDAE DISH,848,708.16,47,Increase Inventory
20802,SMALL GLASS SUNDAE DISH CLEAR,648,730.4399999999999,40,Increase Inventory
20803,SMALL PINK GLASS SUNDAE DISH,911,383.91,26,Increase Inventory
20816,GOLD FLOWER CUSHION COVER ,8,15.6,1,Run Promotional Campaign
20818,GOLD TEDDY BEAR,12,20.0,2,Run Promotional Campaign
20819,SILVER TEDDY BEAR,48,183.71,14,Run Promotional Campaign
20820,SILVER LOOKING MIRROR,5,24.75,2,Run Promotional Campaign
20821,GOLDIE LOOKING MIRROR,16,79.2,5,Run Promotional Campaign
20823,GOLD WINE GOBLET,160,126.4,6,Maintain Current Strategy
20826,SILVER APERITIF GLASS,276,128.4,7,Maintain Current Strategy
20827,GOLD APERITIF GLASS,88,34.32,1,Run Promotional Campaign
20828,GLITTER BUTTERFLY CLIPS,1010,2489.1,116,Increase Inventory
20829,GLITTER HANGING BUTTERFLY STRING,1264,2528.3900000000003,90,Increase Inventory
20830,SILVER PHOTO FRAME,75,157.5,19,Run Promotional Campaign
20831,GOLD PHOTO FRAME,169,272.34000000000003,19,Maintain Current Strategy
20832,RED FLOCK LOVE HEART PHOTO FRAME,1010,517.68,47,Increase Inventory
20835,FRENCH LATTICE CUSHION COVER ,66,54.779999999999994,7,Run Promotional Campaign
20836,FRENCH PAISLEY CUSHION COVER,170,141.1,14,Maintain Current Strategy
20837,FRENCH FLORAL CUSHION COVER ,141,142.47,14,Maintain Current Strategy
20838,FRENCH LATTICE CUSHION COVER ,330,282.94,30,Maintain Current Strategy
20839,FRENCH PAISLEY CUSHION COVER ,452,411.84,44,Maintain Current Strategy
20840,FRENCH FLORAL CUSHION COVER ,464,399.28,35,Maintain Current Strategy
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,120.64999999999999,7,Run Promotional Campaign
20846,ZINC HEART LATTICE T-LIGHT HOLDER,646,784.22,50,Increase Inventory
20847,ZINC HEART LATTICE CHARGER LARGE,46,172.5,12,Run Promotional Campaign
20848,ZINC HEART LATTICE CHARGER SMALL,21,61.95,7,Run Promotional Campaign
20851,ZINC HEART LATTICE TRAY OVAL ,9,53.550000000000004,5,Run Promotional Campaign
20854,BLUE PATCH PURSE PINK HEART,164,252.79999999999998,16,Maintain Current Strategy
20856,DENIM PATCH PURSE PINK BUTTERFLY,140,231.0,26,Maintain Current Strategy
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32,52.8,7,Run Promotional Campaign
20861,GOLD COSMETIC BAG PINK STAR,2,4.2,2,Run Promotional Campaign
20866,BLUE ROSE FABRIC MIRROR,408,487.34,34,Maintain Current Strategy
20867,PINK ROSE FABRIC MIRROR,187,231.47,23,Maintain Current Strategy
20868,SILVER FABRIC MIRROR,381,159.26000000000002,29,Maintain Current Strategy
20869,GOLD FABRIC MIRROR,139,54.21000000000001,17,Maintain Current Strategy
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,24,30.0,7,Run Promotional Campaign
20886,BOX OF 9 PEBBLE CANDLES,452,851.4,56,Maintain Current Strategy
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,12.75,1,Run Promotional Campaign
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,258,566.55,16,Maintain Current Strategy
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,73.75,9,Run Promotional Campaign
20897,VINTAGE NOTEBOOK PARIS DAYS,85,230.35,8,Run Promotional Campaign
20898,VINTAGE NOTEBOOK TRAVELOGUE,25,73.75,4,Run Promotional Campaign
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,3,19.049999999999997,2,Run Promotional Campaign
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,190.35,6,Run Promotional Campaign
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,127.0,10,Run Promotional Campaign
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,8.850000000000001,2,Run Promotional Campaign
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,50.8,2,Run Promotional Campaign
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5871,16537.13,356,Increase Inventory
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288,734.4,1,Maintain Current Strategy
20931,BLUE POT PLANT CANDLE ,263,794.45,35,Maintain Current Strategy
20932,PINK POT PLANT CANDLE,189,516.25,22,Maintain Current Strategy
20933,YELLOW POT PLANT CANDLE,23,71.05,9,Run Promotional Campaign
20934,SET/3 POT PLANT CANDLES,54,294.3,20,Run Promotional Campaign
20935,ROUND CACTUS CANDLE,6,17.700000000000003,4,Run Promotional Campaign
20936,FORKED CACTUS CANDLE,92,272.98,21,Run Promotional Campaign
20941,FROG CANDLE,61,76.25,13,Run Promotional Campaign
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,728,913.63,51,Increase Inventory
20961,STRAWBERRY BATH SPONGE ,1026,1301.86,82,Increase Inventory
20963,APPLE BATH SPONGE,1100,1397.99,83,Increase Inventory
20964,POLYESTER FILLER PAD 60x40cm,2,5.1,1,Run Promotional Campaign
20966,SANDWICH BATH SPONGE,589,698.25,28,Increase Inventory
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,256,960.0,63,Maintain Current Strategy
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1874,6726.81,157,Increase Inventory
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1080,3979.88,141,Increase Inventory
20971,PINK BLUE FELT CRAFT TRINKET BOX,10217,11619.39,277,Increase Inventory
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7106,8617.24,312,Increase Inventory
20973,12 PENCIL SMALL TUBE WOODLAND,3998,2545.3,191,Increase Inventory
20974,12 PENCILS SMALL TUBE SKULL,6727,4230.55,195,Increase Inventory
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6393,4096.650000000001,231,Increase Inventory
20977,36 PENCILS TUBE WOODLAND,1595,1969.43,111,Increase Inventory
20978,36 PENCILS TUBE SKULLS,1627,2009.43,133,Increase Inventory
20979,36 PENCILS TUBE RED RETROSPOT,3518,4227.26,164,Increase Inventory
20980,36 PENCILS TUBE POSY,27,33.75,10,Run Promotional Campaign
20981,12 PENCILS TALL TUBE WOODLAND,1849,1571.6499999999999,157,Increase Inventory
20982,12 PENCILS TALL TUBE SKULLS,2014,1705.6599999999999,158,Increase Inventory
20983,12 PENCILS TALL TUBE RED RETROSPOT,2643,2240.31,185,Increase Inventory
20984,12 PENCILS TALL TUBE POSY,3782,1161.1799999999998,135,Increase Inventory
20985,HEART CALCULATOR,1013,1155.88,65,Increase Inventory
20986,BLUE CALCULATOR RULER,459,543.01,40,Maintain Current Strategy
20992,JAZZ HEARTS PURSE NOTEBOOK,4339,1845.87,162,Increase Inventory
20996,JAZZ HEARTS ADDRESS BOOK,3054,648.12,124,Increase Inventory
20997,ROSE DU SUD CUSHION COVER ,15,74.25,4,Run Promotional Campaign
20998,ROSE DU SUD OVEN GLOVE,119,348.25000000000006,27,Maintain Current Strategy
21000,ROSE DU SUD COSMETICS BAG,45,191.25,16,Run Promotional Campaign
21001,ROSE DU SUD WASHBAG ,24,142.8,12,Run Promotional Campaign
21002,ROSE DU SUD DRAWSTRING BAG,13,55.25,5,Run Promotional Campaign
21003,ROSE DU SUD CUSHION COVER,13,82.55,6,Run Promotional Campaign
21011,GLITTER SNOW PEAR TREE DECORATION,18,26.099999999999998,2,Run Promotional Campaign
21012,ANTIQUE ALL GLASS CANDLESTICK,565,1129.1000000000001,66,Increase Inventory
21014,SWISS CHALET TREE DECORATION ,1233,455.56999999999994,64,Increase Inventory
21015,DARK BIRD HOUSE TREE DECORATION,1249,377.3299999999999,59,Increase Inventory
21018,BIRD BOX CHRISTMAS TREE DECORATION,22,18.7,4,Run Promotional Campaign
21025,SPACE FROG,100,127.25,14,Maintain Current Strategy
21026,SPACE OWL,140,173.62,20,Maintain Current Strategy
21027,NINJA RABBIT PINK,99,119.95,16,Run Promotional Campaign
21028,NINJA RABBIT BLACK,116,148.29,15,Maintain Current Strategy
21030,SPACE CADET RED,111,141.17,19,Maintain Current Strategy
21031,SPACE CADET BLACK,39,49.96,9,Run Promotional Campaign
21032,SPACE CADET WHITE,64,83.63,13,Run Promotional Campaign
21033,JUMBO BAG CHARLIE AND LOLA TOYS,921,1932.67,75,Increase Inventory
21034,REX CASH+CARRY JUMBO SHOPPER,1832,1740.3999999999999,480,Increase Inventory
21035,SET/2 RED RETROSPOT TEA TOWELS ,2315,6807.01,151,Increase Inventory
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,77,86.75,20,Run Promotional Campaign
21039,RED RETROSPOT SHOPPING BAG,510,1284.6599999999999,57,Increase Inventory
21040,MODERN VINTAGE COTTON SHOPPING BAG,22,29.7,8,Run Promotional Campaign
21041,RED RETROSPOT OVEN GLOVE DOUBLE,569,1678.5500000000002,100,Increase Inventory
21042,RED RETROSPOT APRON ,302,1796.9,71,Maintain Current Strategy
21043,APRON MODERN VINTAGE COTTON,441,927.9499999999999,52,Maintain Current Strategy
21051,RIBBONS PURSE ,108,228.83,23,Maintain Current Strategy
21054,NURSE'S BAG SOFT TOY,68,608.5999999999999,24,Run Promotional Campaign
21055,TOOL BOX SOFT TOY ,144,1350.24,63,Maintain Current Strategy
21056,DOCTOR'S BAG SOFT TOY,174,1640.1799999999998,46,Maintain Current Strategy
