StockCode,Description,QuantitySold,Revenue,InventoryStatus,ReorderAlert
17109D,FLOWER FAIRY INCENSE BOUQUET,61,32.349999999999994,Slow Moving,NO
17129F,BLUE GLASS GEMS IN BAG,427,291.25,Medium Moving,NO
17136A,BLUE STONES ON WIRE FOR CANDLE,352,29.59,Medium Moving,NO
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,11.34,Slow Moving,NO
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,Slow Moving,NO
17174,ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,Slow Moving,NO
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15.0,Slow Moving,NO
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,383.76,Fast Moving,YES
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,153.1,Slow Moving,NO
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,12.75,Slow Moving,NO
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,669,1461.15,Medium Moving,YES
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,540.5500000000001,Slow Moving,NO
20615,BLUE POLKADOT PASSPORT COVER,231,233.34,Medium Moving,NO
20616,CHERRY BLOSSOM PASSPORT COVER,134,122.78,Slow Moving,NO
20617,FIRST CLASS PASSPORT COVER ,66,137.74,Slow Moving,NO
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,137.88000000000002,Slow Moving,NO
20619,TROPICAL PASSPORT COVER ,142,206.23000000000002,Slow Moving,NO
20622,VIP PASSPORT COVER ,35,73.5,Slow Moving,NO
20622,VIPPASSPORT COVER ,127,164.58,Slow Moving,NO
20652,BLUE POLKADOT LUGGAGE TAG ,147,191.01,Slow Moving,NO
20653,CHERRY BLOSSOM LUGGAGE TAG,33,43.67,Slow Moving,NO
20654,FIRST CLASS LUGGAGE TAG ,105,126.69,Slow Moving,NO
20655,QUEEN OF SKIES LUGGAGE TAG,89,109.11,Slow Moving,NO
20657,TROPICAL LUGGAGE TAG,61,76.39,Slow Moving,NO
20658,RED RETROSPOT LUGGAGE TAG,327,408.75,Medium Moving,NO
20659,ECONOMY LUGGAGE TAG,94,139.56,Slow Moving,NO
20661,BLUE POLKADOT PURSE ,9,35.07,Slow Moving,NO
20662,FIRST CLASS HOLIDAY PURSE ,11,40.97,Slow Moving,NO
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,11.690000000000001,Slow Moving,NO
20664,TROPICAL HOLIDAY PURSE ,6,17.700000000000003,Slow Moving,NO
20665,RED RETROSPOT PURSE ,340,998.2000000000002,Medium Moving,NO
20666,ECONOMY HOLIDAY PURSE,4,11.8,Slow Moving,NO
20667,CHERRY BLOSSOM PURSE,1,2.95,Slow Moving,NO
20668,DISCO BALL CHRISTMAS DECORATION,12618,1397.04,Fast Moving,YES
20669,RED HEART LUGGAGE TAG,195,243.75,Slow Moving,NO
20670,VIP HOLIDAY PURSE,8,29.28,Slow Moving,NO
20671,BLUE TEATIME PRINT BOWL ,10,12.5,Slow Moving,NO
20674,GREEN POLKADOT BOWL,1360,1632.81,Fast Moving,YES
20675,BLUE POLKADOT BOWL,2728,3178.65,Fast Moving,YES
20676,RED RETROSPOT BOWL,4310,4980.7300000000005,Fast Moving,YES
20677,PINK POLKADOT BOWL,3157,3640.0800000000004,Fast Moving,YES
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,Slow Moving,NO
20679,EDWARDIAN PARASOL RED,1630,9055.87,Fast Moving,YES
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,406.25,Slow Moving,NO
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,3629.66,Fast Moving,YES
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,250.25,Slow Moving,NO
20685,DOORMAT RED RETROSPOT,3897,25364.85,Fast Moving,YES
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,822.38,Medium Moving,NO
20694,FLORAL PINK MONSTER,36,135.0,Slow Moving,NO
20695,FLORAL BLUE MONSTER,5,21.25,Slow Moving,NO
20696,FLORAL SOFT CAR TOY,32,120.0,Slow Moving,NO
20697,LITTLE GREEN MONSTER SOFT TOY,17,43.349999999999994,Slow Moving,NO
20698,LITTLE PINK MONSTER SOFT TOY,16,40.8,Slow Moving,NO
20699,MOUSEY LONG LEGS SOFT TOY,29,73.94999999999999,Slow Moving,NO
20700,GREEN CAT FLORAL CUSHION COVER ,10,37.5,Slow Moving,NO
20701,PINK CAT FLORAL CUSHION COVER ,6,22.5,Slow Moving,NO
20702,PINK PADDED MOBILE,127,539.75,Slow Moving,NO
20703,BLUE PADDED SOFT MOBILE,1,4.25,Slow Moving,NO
20704,MR ROBOT SOFT TOY,211,626.45,Medium Moving,NO
20705,MRS ROBOT SOFT TOY,143,428.85,Slow Moving,NO
20707,CRAZY DAISY HEART DECORATION,155,195.52,Slow Moving,NO
20711,JUMBO BAG TOYS ,4198,7689.28,Fast Moving,YES
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6,Fast Moving,YES
20713,JUMBO BAG OWLS,10451,19047.02,Fast Moving,YES
20716,PARTY FOOD SHOPPER BAG,314,373.5,Medium Moving,NO
20717,STRAWBERRY SHOPPER BAG,2034,2453.38,Fast Moving,YES
20718,RED RETROSPOT SHOPPER BAG,4257,5106.56,Fast Moving,YES
20719,WOODLAND CHARLOTTE BAG,9219,7261.94,Fast Moving,YES
20723,STRAWBERRY CHARLOTTE BAG,6842,5516.7,Fast Moving,YES
20724,RED RETROSPOT CHARLOTTE BAG,12805,10122.45,Fast Moving,YES
20725,LUNCH BAG RED RETROSPOT,17576,27868.8,Fast Moving,YES
20725,LUNCH BAG RED SPOTTY,200,290.0,Medium Moving,NO
20726,LUNCH BAG WOODLAND,9091,14497.51,Fast Moving,YES
20727,LUNCH BAG  BLACK SKULL.,11246,17950.3,Fast Moving,YES
20728,LUNCH BAG CARS BLUE,10789,17214.53,Fast Moving,YES
20731,POSY CANDY BAG,74,92.5,Slow Moving,NO
20733,GOLD MINI TAPE MEASURE ,916,687.2,Medium Moving,YES
20735,BLACK MINI TAPE MEASURE ,158,121.3,Slow Moving,NO
20748,KENSINGTON COFFEE SET,53,675.75,Slow Moving,NO
20749,ASSORTED COLOUR MINI CASES,1717,12107.51,Fast Moving,YES
20750,RED RETROSPOT MINI CASES,1711,12208.85,Fast Moving,YES
20751,FUNKY WASHING UP GLOVES ASSORTED,941,1917.0600000000002,Medium Moving,YES
20752,BLUE POLKADOT WASHING UP GLOVES,360,756.0000000000001,Medium Moving,NO
20754,RETROSPOT RED WASHING UP GLOVES,1355,2668.38,Fast Moving,YES
20755,BLUE PAISLEY POCKET BOOK,291,247.35,Medium Moving,NO
20756,GREEN FERN POCKET BOOK,63,53.55,Slow Moving,NO
20757,RED DAISY POCKET BOOK ,155,132.53,Slow Moving,NO
20758,ABSTRACT CIRCLES POCKET BOOK,158,134.29999999999998,Slow Moving,NO
20759,CHRYSANTHEMUM POCKET BOOK ,64,54.4,Slow Moving,NO
20760,GARDEN PATH POCKET BOOK,69,58.65,Slow Moving,NO
20761,BLUE PAISLEY SKETCHBOOK,107,408.67,Slow Moving,NO
20762,GREEN FERN SKETCHBOOK ,101,382.46,Slow Moving,NO
20763,DAISY SKETCHBOOK ,71,189.96,Slow Moving,NO
20764,ABSTRACT CIRCLES SKETCHBOOK ,126,483.63,Slow Moving,NO
20765,CHRYSANTHEMUM SKETCHBOOK ,94,367.34,Slow Moving,NO
20766,GARDEN PATH SKETCHBOOK,111,414.58,Slow Moving,NO
20767,BLUE PAISLEY JOURNAL ,214,534.3199999999999,Medium Moving,NO
20768,GREEN FERN JOURNAL ,130,317.71,Slow Moving,NO
20769,DAISY JOURNAL ,66,173.11999999999998,Slow Moving,NO
20770,ABSTRACT CIRCLE JOURNAL ,107,256.65,Slow Moving,NO
20771,CHRYSANTHEMUM  JOURNAL,70,180.91,Slow Moving,NO
20772,GARDEN PATH JOURNAL,218,534.46,Medium Moving,NO
20773,BLUE PAISLEY NOTEBOOK,56,92.39999999999999,Slow Moving,NO
20774,GREEN FERN NOTEBOOK,52,85.8,Slow Moving,NO
20775,DAISY NOTEBOOK ,63,103.94999999999999,Slow Moving,NO
20777,CHRYSANTHEMUM NOTEBOOK,95,156.75,Slow Moving,NO
20778,GARDEN PATH NOTEBOOK ,15,24.75,Slow Moving,NO
20780,BLACK EAR MUFF HEADPHONES,36,192.86,Slow Moving,NO
20781,GOLD EAR MUFF HEADPHONES,29,152.13,Slow Moving,NO
20782,CAMOUFLAGE EAR MUFF HEADPHONES,39,215.87,Slow Moving,NO
20785,FUSCHIA RETRO BAR STOOL,14,523.3000000000001,Slow Moving,NO
20793,BLUE TILED TRAY,8,54.0,Slow Moving,NO
20794,BLUE  TILE HOOK,85,213.14999999999998,Slow Moving,NO
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,92.4,Slow Moving,NO
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,100.64999999999999,Slow Moving,NO
20798,CLEAR MILKSHAKE GLASS,36,75.60000000000001,Slow Moving,NO
20801,LARGE PINK GLASS SUNDAE DISH,848,708.16,Medium Moving,YES
20802,SMALL GLASS SUNDAE DISH CLEAR,648,730.4399999999999,Medium Moving,YES
20803,SMALL PINK GLASS SUNDAE DISH,911,383.91,Medium Moving,YES
20816,GOLD FLOWER CUSHION COVER ,8,15.6,Slow Moving,NO
20818,GOLD TEDDY BEAR,12,20.0,Slow Moving,NO
20819,SILVER TEDDY BEAR,48,183.71,Slow Moving,NO
20820,SILVER LOOKING MIRROR,5,24.75,Slow Moving,NO
20821,GOLDIE LOOKING MIRROR,16,79.2,Slow Moving,NO
20823,GOLD WINE GOBLET,160,126.4,Slow Moving,NO
20826,SILVER APERITIF GLASS,276,128.4,Medium Moving,NO
20827,GOLD APERITIF GLASS,88,34.32,Slow Moving,NO
20828,GLITTER BUTTERFLY CLIPS,1010,2489.1,Fast Moving,YES
20829,GLITTER HANGING BUTTERFLY STRING,1264,2528.3900000000003,Fast Moving,YES
20830,SILVER PHOTO FRAME,75,157.5,Slow Moving,NO
20831,GOLD PHOTO FRAME,169,272.34000000000003,Slow Moving,NO
20832,RED FLOCK LOVE HEART PHOTO FRAME,1010,517.68,Fast Moving,YES
20835,FRENCH LATTICE CUSHION COVER ,66,54.779999999999994,Slow Moving,NO
20836,FRENCH PAISLEY CUSHION COVER,170,141.1,Slow Moving,NO
20837,FRENCH FLORAL CUSHION COVER ,141,142.47,Slow Moving,NO
20838,FRENCH LATTICE CUSHION COVER ,330,282.94,Medium Moving,NO
20839,FRENCH PAISLEY CUSHION COVER ,452,411.84,Medium Moving,NO
20840,FRENCH FLORAL CUSHION COVER ,464,399.28,Medium Moving,NO
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,120.64999999999999,Slow Moving,NO
20846,ZINC HEART LATTICE T-LIGHT HOLDER,646,784.22,Medium Moving,YES
20847,ZINC HEART LATTICE CHARGER LARGE,46,172.5,Slow Moving,NO
20848,ZINC HEART LATTICE CHARGER SMALL,21,61.95,Slow Moving,NO
20851,ZINC HEART LATTICE TRAY OVAL ,9,53.550000000000004,Slow Moving,NO
20854,BLUE PATCH PURSE PINK HEART,164,252.79999999999998,Slow Moving,NO
20856,DENIM PATCH PURSE PINK BUTTERFLY,140,231.0,Slow Moving,NO
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32,52.8,Slow Moving,NO
20861,GOLD COSMETIC BAG PINK STAR,2,4.2,Slow Moving,NO
20866,BLUE ROSE FABRIC MIRROR,408,487.34,Medium Moving,NO
20867,PINK ROSE FABRIC MIRROR,187,231.47,Slow Moving,NO
20868,SILVER FABRIC MIRROR,381,159.26000000000002,Medium Moving,NO
20869,GOLD FABRIC MIRROR,139,54.21000000000001,Slow Moving,NO
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,24,30.0,Slow Moving,NO
20886,BOX OF 9 PEBBLE CANDLES,452,851.4,Medium Moving,NO
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,12.75,Slow Moving,NO
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,258,566.55,Medium Moving,NO
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,73.75,Slow Moving,NO
20897,VINTAGE NOTEBOOK PARIS DAYS,85,230.35,Slow Moving,NO
20898,VINTAGE NOTEBOOK TRAVELOGUE,25,73.75,Slow Moving,NO
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,3,19.049999999999997,Slow Moving,NO
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,190.35,Slow Moving,NO
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,127.0,Slow Moving,NO
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,8.850000000000001,Slow Moving,NO
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,50.8,Slow Moving,NO
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5871,16537.13,Fast Moving,YES
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288,734.4,Medium Moving,NO
20931,BLUE POT PLANT CANDLE ,263,794.45,Medium Moving,NO
20932,PINK POT PLANT CANDLE,189,516.25,Slow Moving,NO
20933,YELLOW POT PLANT CANDLE,23,71.05,Slow Moving,NO
20934,SET/3 POT PLANT CANDLES,54,294.3,Slow Moving,NO
20935,ROUND CACTUS CANDLE,6,17.700000000000003,Slow Moving,NO
20936,FORKED CACTUS CANDLE,92,272.98,Slow Moving,NO
20941,FROG CANDLE,61,76.25,Slow Moving,NO
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,728,913.63,Medium Moving,YES
20961,STRAWBERRY BATH SPONGE ,1026,1301.86,Fast Moving,YES
20963,APPLE BATH SPONGE,1100,1397.99,Fast Moving,YES
20964,POLYESTER FILLER PAD 60x40cm,2,5.1,Slow Moving,NO
20966,SANDWICH BATH SPONGE,589,698.25,Medium Moving,YES
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,256,960.0,Medium Moving,NO
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1874,6726.81,Fast Moving,YES
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1080,3979.88,Fast Moving,YES
20971,PINK BLUE FELT CRAFT TRINKET BOX,10217,11619.39,Fast Moving,YES
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7106,8617.24,Fast Moving,YES
20973,12 PENCIL SMALL TUBE WOODLAND,3998,2545.3,Fast Moving,YES
20974,12 PENCILS SMALL TUBE SKULL,6727,4230.55,Fast Moving,YES
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6393,4096.650000000001,Fast Moving,YES
20977,36 PENCILS TUBE WOODLAND,1595,1969.43,Fast Moving,YES
20978,36 PENCILS TUBE SKULLS,1627,2009.43,Fast Moving,YES
20979,36 PENCILS TUBE RED RETROSPOT,3518,4227.26,Fast Moving,YES
20980,36 PENCILS TUBE POSY,27,33.75,Slow Moving,NO
20981,12 PENCILS TALL TUBE WOODLAND,1849,1571.6499999999999,Fast Moving,YES
20982,12 PENCILS TALL TUBE SKULLS,2014,1705.6599999999999,Fast Moving,YES
20983,12 PENCILS TALL TUBE RED RETROSPOT,2643,2240.31,Fast Moving,YES
20984,12 PENCILS TALL TUBE POSY,3782,1161.1799999999998,Fast Moving,YES
20985,HEART CALCULATOR,1013,1155.88,Fast Moving,YES
20986,BLUE CALCULATOR RULER,459,543.01,Medium Moving,NO
20992,JAZZ HEARTS PURSE NOTEBOOK,4339,1845.87,Fast Moving,YES
20996,JAZZ HEARTS ADDRESS BOOK,3054,648.12,Fast Moving,YES
20997,ROSE DU SUD CUSHION COVER ,15,74.25,Slow Moving,NO
20998,ROSE DU SUD OVEN GLOVE,119,348.25000000000006,Slow Moving,NO
21000,ROSE DU SUD COSMETICS BAG,45,191.25,Slow Moving,NO
21001,ROSE DU SUD WASHBAG ,24,142.8,Slow Moving,NO
21002,ROSE DU SUD DRAWSTRING BAG,13,55.25,Slow Moving,NO
21003,ROSE DU SUD CUSHION COVER,13,82.55,Slow Moving,NO
21011,GLITTER SNOW PEAR TREE DECORATION,18,26.099999999999998,Slow Moving,NO
21012,ANTIQUE ALL GLASS CANDLESTICK,565,1129.1000000000001,Medium Moving,YES
21014,SWISS CHALET TREE DECORATION ,1233,455.56999999999994,Fast Moving,YES
21015,DARK BIRD HOUSE TREE DECORATION,1249,377.3299999999999,Fast Moving,YES
21018,BIRD BOX CHRISTMAS TREE DECORATION,22,18.7,Slow Moving,NO
21025,SPACE FROG,100,127.25,Slow Moving,NO
21026,SPACE OWL,140,173.62,Slow Moving,NO
21027,NINJA RABBIT PINK,99,119.95,Slow Moving,NO
21028,NINJA RABBIT BLACK,116,148.29,Slow Moving,NO
21030,SPACE CADET RED,111,141.17,Slow Moving,NO
21031,SPACE CADET BLACK,39,49.96,Slow Moving,NO
21032,SPACE CADET WHITE,64,83.63,Slow Moving,NO
21033,JUMBO BAG CHARLIE AND LOLA TOYS,921,1932.67,Medium Moving,YES
21034,REX CASH+CARRY JUMBO SHOPPER,1832,1740.3999999999999,Fast Moving,YES
21035,SET/2 RED RETROSPOT TEA TOWELS ,2315,6807.01,Fast Moving,YES
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,77,86.75,Slow Moving,NO
21039,RED RETROSPOT SHOPPING BAG,510,1284.6599999999999,Medium Moving,YES
21040,MODERN VINTAGE COTTON SHOPPING BAG,22,29.7,Slow Moving,NO
21041,RED RETROSPOT OVEN GLOVE DOUBLE,569,1678.5500000000002,Medium Moving,YES
21042,RED RETROSPOT APRON ,302,1796.9,Medium Moving,NO
21043,APRON MODERN VINTAGE COTTON,441,927.9499999999999,Medium Moving,NO
21051,RIBBONS PURSE ,108,228.83,Slow Moving,NO
21054,NURSE'S BAG SOFT TOY,68,608.5999999999999,Slow Moving,NO
21055,TOOL BOX SOFT TOY ,144,1350.24,Slow Moving,NO
21056,DOCTOR'S BAG SOFT TOY,174,1640.1799999999998,Slow Moving,NO
21058,PARTY INVITES WOODLAND,1046,853.2199999999999,Fast Moving,YES
21059,PARTY INVITES DINOSAURS,573,487.04999999999995,Medium Moving,YES
21060,PARTY INVITES BALLOON GIRL,356,302.59999999999997,Medium Moving,NO
21061,PARTY INVITES FOOTBALL,412,350.2,Medium Moving,NO
21062,PARTY INVITES SPACEMAN,500,425.0,Medium Moving,YES
21063,PARTY INVITES JAZZ HEARTS,483,412.10999999999996,Medium Moving,NO
21064,BOOM BOX SPEAKER BOYS,171,740.15,Slow Moving,NO
21065,BOOM BOX SPEAKER GIRLS,485,827.15,Medium Moving,NO
21066,VINTAGE RED MUG,687,656.37,Medium Moving,YES
21067,VINTAGE RED TEATIME MUG,201,246.88,Medium Moving,NO
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1535,1637.71,Fast Moving,YES
21069,VINTAGE BILLBOARD TEA MUG,1867,2047.8000000000002,Fast Moving,YES
21070,VINTAGE BILLBOARD MUG ,1032,1058.54,Fast Moving,YES
21071,VINTAGE BILLBOARD DRINK ME MUG,845,1020.98,Medium Moving,YES
21078,SET/20 STRAWBERRY PAPER NAPKINS ,2483,1972.73,Fast Moving,YES
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12305,9649.99,Fast Moving,YES
21084,SET/6 COLLAGE PAPER CUPS,2199,463.85,Fast Moving,YES
